PART_REF,STUD_CHECK
4181p01.dat,1
88618.dat,1
3626cp8j.dat,1
6009254gc01.dat,0
4622303bc01.dat,0
58149.dat,0
48083c01.dat,0
2409d01.dat,1
10131.dat,0
2476.dat,1
30587.dat,0
2310.dat,1
3002dm1.dat,1
21019bp03.dat,0
4761.dat,0
67c01.dat,0
973pxb.dat,0
9245.dat,1
195555g.dat,0
10350c01.dat,0
3068bd06.dat,0
6074343p.dat,0
6162.dat,1
30593.dat,0
25866c02.dat,0
49736.dat,1
84750.dat,0
61904.dat,0
51560-f2.dat,0
2462.dat,1
67013p01.dat,1
u9142p01c07.dat,0
u9059.dat,0
3068bdfg.dat,0
3754.dat,1
62498c02.dat,0
11213.dat,1
93562.dat,0
191075a.dat,0
80278.dat,0
973px4.dat,0
3626cpm7.dat,1
3004p90.dat,1
3821d05.dat,1
3058a.dat,1
21019bp0e.dat,0
6009254e.dat,0
3032.dat,1
11575.dat,0
57520.dat,0
2338.dat,0
3816ps5.dat,0
6177949f.dat,0
3816cps5.dat,0
79811.dat,0
3026.dat,1
14769ps4.dat,0
6074343g.dat,0
973py0.dat,0
14419.dat,1
925p09.dat,1
6638.dat,0
953a.dat,1
u9065.dat,0
925p0x.dat,1
3068bdf1.dat,0
3740.dat,0
77182.dat,1
6177969ab.dat,0
85970dy1.dat,1
4215ap66.dat,1
10183p01.dat,0
87997p02.dat,0
30356.dat,1
4150pt0.dat,0
4650854h.dat,0
004490d.dat,0
4085c.dat,1
613p01.dat,1
13809p02.dat,0
57895p04.dat,0
24323.dat,0
4444p09.dat,1
57539p01.dat,0
42918.dat,0
92241p20.dat,0
32227.dat,0
21835-f2.dat,0
98138pxc.dat,0
24445.dat,0
813c01.dat,1
91598.dat,1
26603pz2.dat,0
3069bp87.dat,0
79756.dat,0
29161.dat,1
57029a.dat,0
4352c01.dat,0
30171c01.dat,0
38630p01.dat,0
90462pq0.dat,1
32555.dat,1
64713.dat,0
2431pc1.dat,0
196945p.dat,0
103918.dat,0
10092.dat,0
2924bd01.dat,1
30342.dat,1
2335p43.dat,0
3813.dat,0
168295a.dat,0
949b.dat,0
560.dat,1
165395ec01.dat,0
3040p03.dat,1
31074.dat,1
67498-f1.dat,0
004239a.dat,0
5292.dat,0
3229bc04.dat,1
3185.dat,0
u1852p05.dat,0
4129790b.dat,0
6372023i.dat,0
62233-f1.dat,0
4823c02.dat,1
35574.dat,1
u589p01c02.dat,0
42924.dat,0
25767.dat,0
98138px5.dat,0
35032f.dat,0
206.dat,0
2547bc02.dat,0
92241p08.dat,0
212.dat,1
30361aps1.dat,0
3464c01.dat,0
2599a.dat,1
49294c01.dat,0
18394.dat,0
3045dx1.dat,1
3817pbb.dat,0
433c02.dat,0
3191.dat,1
3816bpbb.dat,0
4198.dat,0
92907.dat,0
30164p01.dat,1
574.dat,0
48245c01.dat,0
92246p01.dat,0
6142275ac.dat,0
103a.dat,0
2502.dat,0
30395.dat,1
49130.dat,0
604551.dat,0
37364pdeb.dat,0
821472hc01.dat,0
3068bpx8.dat,0
u9187d.dat,0
191915k.dat,0
14301k01.dat,0
4615.dat,1
19729p09.dat,0
49656.dat,0
87610ps2.dat,0
6002.dat,1
